,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
67,67,2014,AK1,38344AK0570001,36,No,none,378,,,0,0,0,0,,Bronze
68,68,2014,AK1,38344AK0570001,36,No,none,378,,,20,5250,10500,6100,,Bronze
69,69,2014,AK1,38344AK0570001,37,No,none,381,0,0,0,0,0,0,0,Bronze
70,70,2014,AK1,38344AK0570001,37,No,none,381,,,0,5250,10500,5250,,Bronze
71,71,2014,AK1,38344AK0570001,37,No,none,381,,,0,0,0,0,,Bronze
72,72,2014,AK1,38344AK0570001,37,No,none,381,,,20,5250,10500,6100,,Bronze
73,73,2014,AK1,38344AK0570001,38,No,none,383,0,0,0,0,0,0,0,Bronze
74,74,2014,AK1,38344AK0570001,38,No,none,383,,,0,5250,10500,5250,,Bronze
75,75,2014,AK1,38344AK0570001,38,No,none,383,,,0,0,0,0,,Bronze
76,76,2014,AK1,38344AK0570001,38,No,none,383,,,20,5250,10500,6100,,Bronze
77,77,2014,AK1,38344AK0570001,39,No,none,388,0,0,0,0,0,0,0,Bronze
78,78,2014,AK1,38344AK0570001,39,No,none,388,,,0,5250,10500,5250,,Bronze
79,79,2014,AK1,38344AK0570001,39,No,none,388,,,0,0,0,0,,Bronze
80,80,2014,AK1,38344AK0570001,39,No,none,388,,,20,5250,10500,6100,,Bronze
81,81,2014,AK1,38344AK0570001,40,No,none,393,0,0,0,0,0,0,0,Bronze
82,82,2014,AK1,38344AK0570001,40,No,none,393,,,0,5250,10500,5250,,Bronze
83,83,2014,AK1,38344AK0570001,40,No,none,393,,,0,0,0,0,,Bronze
84,84,2014,AK1,38344AK0570001,40,No,none,393,,,20,5250,10500,6100,,Bronze
85,85,2014,AK1,38344AK0570001,41,No,none,400,0,0,0,0,0,0,0,Bronze
86,86,2014,AK1,38344AK0570001,41,No,none,400,,,0,5250,10500,5250,,Bronze
87,87,2014,AK1,38344AK0570001,41,No,none,400,,,0,0,0,0,,Bronze
88,88,2014,AK1,38344AK0570001,41,No,none,400,,,20,5250,10500,6100,,Bronze
89,89,2014,AK1,38344AK0570001,42,No,none,407,0,0,0,0,0,0,0,Bronze
90,90,2014,AK1,38344AK0570001,42,No,none,407,,,0,5250,10500,5250,,Bronze
91,91,2014,AK1,38344AK0570001,42,No,none,407,,,0,0,0,0,,Bronze
92,92,2014,AK1,38344AK0570001,42,No,none,407,,,20,5250,10500,6100,,Bronze
93,93,2014,AK1,38344AK0570001,43,No,none,417,0,0,0,0,0,0,0,Bronze
94,94,2014,AK1,38344AK0570001,43,No,none,417,,,0,5250,10500,5250,,Bronze
95,95,2014,AK1,38344AK0570001,43,No,none,417,,,0,0,0,0,,Bronze
96,96,2014,AK1,38344AK0570001,43,No,none,417,,,20,5250,10500,6100,,Bronze
97,97,2014,AK1,38344AK0570001,44,No,none,429,0,0,0,0,0,0,0,Bronze
98,98,2014,AK1,38344AK0570001,44,No,none,429,,,0,5250,10500,5250,,Bronze
99,99,2014,AK1,38344AK0570001,44,No,none,429,,,0,0,0,0,,Bronze
